Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
180001	24 Februari 2022	Tanya-SC	DJP Online	bupot bagi wp pp23 apakah emang hanya ssp? kalau aplikasi epst 4 ayat 2 itu emang gabisa ya buat bupotnya?	iya hanya ssp sebagai bupotnya. diaplikasi gabisa pasti blank.	iya hanya ssp sebagai bupotnya. diaplikasi gabisa pasti blank.	FIDHIA RETNO SAFITRI
180002	24 Februari 2022	Tanya-SC	DJP Online	wp mau validasi ssp lewat e phtb. namun tidak bisa input ntpn nya.	pastikan ntpn nya belum di pbk. kalau sudah dipbk atas ntpn tsb silahkan ajukan validasi ssp ke kpp	pastikan ntpn nya belum di pbk. kalau sudah dipbk atas ntpn tsb silahkan ajukan validasi ssp ke kpp	FIDHIA RETNO SAFITRI
180003	18 Agustus 2022	Tanya-SC	E-Faktur	efaktur pm ilang semua ini igmana?	pake db backup aja kalau gaaada input manual	pake db backup aja kalau gaaada input manual	MUHAMMAD INDRA PRASETYO
180004	24 Februari 2022	Tanya-SC	Lainnya	WP mau submit spt tahunan eform, muncul keterangan unknown failure.	coba pastikan internetnya lancar saat submit, coba download dan isi ulang. saran lain pakai espt atau kalau mau ttp pakai eform silahkan ke kpp untuk dilihat langsung file nya	coba pastikan internetnya lancar saat submit, coba download dan isi ulang. saran lain pakai espt atau kalau mau ttp pakai eform silahkan ke kpp untuk dilihat langsung file nya	FIDHIA RETNO SAFITRI
180005	18 Agustus 2022	Tanya-SC	PPh	di bulan mei bukan pegawai berkesinambungan dia 3x menerima penghasilan. pertama tidak berkesinambungan.	kalau pertama kali itu pasti tidak berkesinambungan, tapi kalau ada beberapa kali pembayaran sudah masuk berkesinambungan untuk bupot berikutnya dan masalah digabung atau engga, ini dilihat dari saat terutangnya penghasilan sesuai PER 16 2016	kalau pertama kali itu pasti tidak berkesinambungan, tapi kalau ada beberapa kali pembayaran sudah masuk berkesinambungan untuk bupot berikutnya dan masalah digabung atau engga, ini dilihat dari saat terutangnya penghasilan sesuai PER 16 2016	MUHAMMAD INDRA PRASETYO
180006	18 Agustus 2022	Tanya-SC	DJP Online	Transaksi dengan importir atas pengurusan impor, sudah buat bukti potong, sudah bayar, input di ebuni kok gak ketemu?	Pastikan bukti potong dan SSP sudah sesuai, untuk jasa seharusnya KJS 104 pastikan sudah sesuai bukan 100	Pastikan bukti potong dan SSP sudah sesuai, untuk jasa seharusnya KJS 104 pastikan sudah sesuai bukan 100	ANNAS KURNIA RAMADHAN
180007	18 Agustus 2022	Tanya-SC	KUP	Saya ada Pbk dan sudah keluar SK nya. Untuk pembayaran PPN. Saat saya mau laporan, SPT Masa PPn, PBk tidak ditemukan. Bagaimana dan apa yang harus saya lakukan? PBk PPn dari Pribadi ke Usaha	pastiin juga kap kjs pbknya udah bener, pastiin udah input semua nomor bukti pbknya. bisa coba dipastikan ke kpp	pastiin juga kap kjs pbknya udah bener, pastiin udah input semua nomor bukti pbknya. bisa coba dipastikan ke kpp	ANDREW BENJAMIN SIHOMBING
180008	18 Agustus 2022	Tanya-SC	KUP	penadatangan spt ini wajib pengurus cabang?	yang penting pengurus sesuai Pasal 32 UU KUP JPP	yang penting pengurus sesuai Pasal 32 UU KUP JPP	MUHAMMAD INDRA PRASETYO
180009	25 Februari 2022	Tanya-SC	PPh	jika melaporkan spt tahunan orang pribadi 1770 dia ada penghasilan dari tiga pemberi kerja dan status op di ketiga pemberi kerja tersebut adalah pegawai.. di pelaporan 1170 itu kan ada lampiran LK dan peredaran bruto dalam bentuk csv. itu bagaimana ya diisi apa? sedangkan kan ini op statusnya pegawai. wp sebelumnya mempunyai usaha berupa akr tapi sudah tidak beroperasi dari tahun 2019	Kalau 2021 gak ada usaha/pekerjaan bebas, sepanjang dia ada bupot misal 1721 A1 sebenrnya pake 1770S bisa. Tp gak dilarang juga kalau mau 1770. untuk lampiran spt, silahkan bisa disesuaikan di lamp per 02/2019 ya. Kalau memang kondisi wp sesuai aturan tsb tidak diwajibkan melampirkan namun secara sistem diharuskan ada, silahkan bisa lampirkan dokumen yang berhubungan dgn spt wp.	Kalau 2021 gak ada usaha/pekerjaan bebas, sepanjang dia ada bupot misal 1721 A1 sebenrnya pake 1770S bisa. Tp gak dilarang juga kalau mau 1770. untuk lampiran spt, silahkan bisa disesuaikan di lamp per 02/2019 ya. Kalau memang kondisi wp sesuai aturan tsb tidak diwajibkan melampirkan namun secara sistem diharuskan ada, silahkan bisa lampirkan dokumen yang berhubungan dgn spt wp.	FIDHIA RETNO SAFITRI
180010	18 Agustus 2022	Tanya-SC	PPh	pengalihan tanah bangunan untuk setoran modal apakah tetap terutang PPh 4 ayat 2 atas pengalihan ?	tetap kena karena tidak dikecualikan	tetap kena karena tidak dikecualikan	ELFAN FAUZI AKBAR
